timestamp,B_to_P1,P1_to_B,C_to_B,B_to_C,recorder1_9m_b,recorder2_9m_b,recorder3_9m_b,recorder1_9m_p1,recorder2_9m_p1,recorder1_9m_c,recorder2_9m_c
2024-02-15 12:33:00,2.0,1.0,4.0,0.0,37.0,69.0,12.0,9.0,13.0,4.0,10.0
2024-02-15 12:33:10,0.0,2.0,4.0,3.0,53.0,79.0,21.0,10.0,12.0,9.0,13.0
2024-02-15 12:33:20,0.0,1.0,4.0,2.0,52.0,58.0,25.0,7.0,8.0,8.0,10.0
2024-02-15 12:33:30,0.0,3.0,2.0,2.0,43.0,69.0,28.0,4.0,7.0,8.0,18.0
2024-02-15 12:33:40,0.0,0.0,4.0,0.0,57.0,79.0,30.0,10.0,13.0,19.0,22.0
2024-02-15 12:33:50,0.0,3.0,5.0,2.0,58.0,62.0,24.0,16.0,9.0,17.0,21.0
2024-02-15 12:34:00,1.0,2.0,2.0,0.0,42.0,48.0,23.0,18.0,3.0,17.0,19.0
2024-02-15 12:34:10,0.0,1.0,3.0,3.0,49.0,61.0,21.0,12.0,2.0,16.0,23.0
2024-02-15 12:34:20,2.0,1.0,0.0,1.0,53.0,79.0,27.0,6.0,10.0,13.0,22.0
2024-02-15 12:34:30,0.0,0.0,1.0,0.0,46.0,45.0,17.0,9.0,5.0,5.0,25.0
2024-02-15 12:34:40,0.0,0.0,3.0,5.0,57.0,60.0,18.0,13.0,5.0,14.0,21.0
2024-02-15 12:34:50,0.0,0.0,1.0,0.0,35.0,74.0,17.0,7.0,10.0,13.0,18.0
2024-02-15 12:35:00,3.0,0.0,1.0,0.0,30.0,82.0,10.0,7.0,14.0,6.0,16.0
2024-02-15 12:35:10,1.0,0.0,1.0,2.0,27.0,49.0,12.0,2.0,9.0,10.0,21.0
2024-02-15 12:35:20,0.0,0.0,1.0,2.0,16.0,11.0,12.0,12.0,4.0,0.0,16.0
2024-02-15 12:35:30,0.0,0.0,3.0,2.0,37.0,60.0,15.0,8.0,8.0,4.0,25.0
2024-02-15 12:35:40,0.0,0.0,0.0,1.0,29.0,66.0,24.0,10.0,9.0,12.0,18.0
2024-02-15 12:35:50,1.0,0.0,0.0,0.0,24.0,50.0,17.0,9.0,5.0,18.0,9.0
2024-02-15 12:36:00,0.0,2.0,2.0,0.0,29.0,49.0,17.0,18.0,17.0,15.0,17.0
2024-02-15 12:36:10,0.0,0.0,1.0,3.0,25.0,63.0,22.0,28.0,9.0,13.0,13.0
2024-02-15 12:36:20,1.0,2.0,1.0,2.0,26.0,60.0,25.0,10.0,7.0,6.0,7.0
2024-02-15 12:36:30,1.0,0.0,1.0,0.0,35.0,60.0,13.0,3.0,9.0,2.0,15.0
2024-02-15 12:36:40,0.0,0.0,1.0,0.0,44.0,33.0,33.0,5.0,11.0,6.0,12.0
2024-02-15 12:36:50,0.0,0.0,2.0,2.0,32.0,51.0,29.0,18.0,9.0,13.0,23.0
2024-02-15 12:37:00,0.0,1.0,1.0,0.0,28.0,50.0,27.0,21.0,12.0,8.0,18.0
2024-02-15 12:37:10,1.0,0.0,3.0,0.0,32.0,36.0,27.0,15.0,9.0,3.0,13.0
2024-02-15 12:37:20,1.0,2.0,3.0,1.0,32.0,24.0,40.0,13.0,13.0,12.0,26.0
2024-02-15 12:37:30,2.0,1.0,2.0,6.0,49.0,52.0,53.0,16.0,17.0,16.0,13.0
2024-02-15 12:37:40,0.0,2.0,1.0,0.0,48.0,58.0,49.0,23.0,10.0,19.0,12.0
2024-02-15 12:37:50,2.0,0.0,1.0,0.0,50.0,49.0,18.0,21.0,11.0,17.0,15.0
2024-02-15 12:38:00,0.0,0.0,1.0,0.0,32.0,36.0,13.0,29.0,11.0,12.0,10.0
2024-02-15 12:38:10,0.0,0.0,3.0,1.0,23.0,21.0,20.0,29.0,12.0,13.0,15.0
2024-02-15 12:38:20,6.0,0.0,0.0,0.0,37.0,29.0,19.0,19.0,18.0,8.0,4.0
2024-02-15 12:38:30,2.0,0.0,1.0,0.0,38.0,39.0,13.0,15.0,10.0,7.0,8.0
2024-02-15 12:38:40,0.0,0.0,1.0,2.0,49.0,67.0,12.0,21.0,9.0,7.0,13.0
2024-02-15 12:38:50,1.0,1.0,0.0,0.0,39.0,54.0,12.0,24.0,5.0,6.0,15.0
2024-02-15 12:39:00,2.0,0.0,2.0,1.0,26.0,17.0,11.0,15.0,15.0,6.0,14.0
2024-02-15 12:39:10,1.0,2.0,0.0,0.0,21.0,20.0,15.0,7.0,12.0,16.0,11.0
2024-02-15 12:39:20,0.0,1.0,1.0,0.0,28.0,28.0,9.0,6.0,4.0,9.0,15.0
2024-02-15 12:39:30,0.0,1.0,1.0,3.0,24.0,18.0,14.0,11.0,4.0,8.0,20.0
2024-02-15 12:39:40,0.0,0.0,1.0,2.0,25.0,25.0,13.0,12.0,3.0,14.0,19.0
2024-02-15 12:39:50,0.0,0.0,1.0,1.0,24.0,31.0,17.0,8.0,4.0,14.0,20.0
2024-02-15 12:40:00,1.0,0.0,1.0,0.0,32.0,11.0,19.0,5.0,7.0,8.0,22.0
2024-02-15 12:40:10,0.0,0.0,5.0,1.0,33.0,27.0,10.0,2.0,10.0,16.0,36.0
2024-02-15 12:40:20,1.0,0.0,2.0,0.0,24.0,43.0,23.0,14.0,10.0,10.0,24.0
2024-02-15 12:40:30,0.0,0.0,3.0,1.0,35.0,45.0,29.0,11.0,6.0,13.0,14.0
2024-02-15 12:40:40,1.0,1.0,0.0,0.0,35.0,47.0,14.0,12.0,7.0,8.0,13.0
2024-02-15 12:40:50,0.0,1.0,2.0,1.0,28.0,35.0,15.0,12.0,6.0,13.0,10.0
2024-02-15 12:41:00,1.0,0.0,0.0,1.0,40.0,46.0,22.0,9.0,10.0,23.0,12.0
2024-02-15 12:41:10,0.0,1.0,2.0,2.0,35.0,50.0,19.0,6.0,8.0,15.0,15.0
2024-02-15 12:41:20,0.0,0.0,1.0,1.0,26.0,34.0,17.0,6.0,6.0,10.0,12.0
2024-02-15 12:41:30,1.0,1.0,2.0,0.0,16.0,17.0,12.0,1.0,10.0,14.0,14.0
2024-02-15 12:41:40,0.0,0.0,2.0,2.0,20.0,32.0,14.0,10.0,11.0,16.0,14.0
2024-02-15 12:41:50,0.0,1.0,2.0,1.0,28.0,26.0,12.0,9.0,11.0,17.0,14.0
2024-02-15 12:42:00,2.0,0.0,0.0,0.0,24.0,14.0,9.0,13.0,12.0,20.0,15.0
2024-02-15 12:42:10,0.0,1.0,0.0,0.0,48.0,38.0,13.0,7.0,12.0,27.0,28.0
2024-02-15 12:42:20,0.0,1.0,2.0,0.0,43.0,44.0,11.0,8.0,10.0,11.0,11.0
2024-02-15 12:42:30,0.0,0.0,0.0,0.0,23.0,23.0,13.0,5.0,13.0,9.0,13.0
2024-02-15 12:42:40,0.0,1.0,2.0,1.0,27.0,22.0,9.0,8.0,7.0,4.0,10.0
2024-02-15 12:42:50,0.0,1.0,1.0,0.0,35.0,40.0,11.0,11.0,10.0,7.0,13.0
2024-02-15 12:43:00,1.0,1.0,1.0,1.0,40.0,57.0,16.0,11.0,10.0,9.0,20.0
2024-02-15 12:43:10,1.0,0.0,4.0,1.0,24.0,40.0,19.0,5.0,7.0,19.0,19.0
2024-02-15 12:43:20,1.0,1.0,1.0,0.0,27.0,16.0,20.0,7.0,9.0,3.0,5.0
2024-02-15 12:43:30,0.0,0.0,3.0,0.0,32.0,37.0,23.0,9.0,11.0,8.0,12.0
2024-02-15 12:43:40,0.0,1.0,1.0,4.0,26.0,72.0,28.0,11.0,11.0,9.0,13.0
2024-02-15 12:43:50,4.0,3.0,1.0,1.0,39.0,78.0,26.0,14.0,12.0,10.0,15.0
2024-02-15 12:44:00,2.0,0.0,0.0,0.0,48.0,85.0,18.0,15.0,14.0,14.0,13.0
2024-02-15 12:44:10,0.0,0.0,0.0,1.0,55.0,70.0,18.0,15.0,11.0,7.0,15.0
2024-02-15 12:44:20,1.0,0.0,1.0,1.0,41.0,70.0,10.0,14.0,9.0,9.0,8.0
2024-02-15 12:44:30,1.0,1.0,0.0,0.0,37.0,50.0,13.0,16.0,11.0,12.0,8.0
2024-02-15 12:44:40,0.0,0.0,1.0,0.0,50.0,46.0,25.0,15.0,11.0,12.0,17.0
2024-02-15 12:44:50,0.0,2.0,1.0,3.0,55.0,67.0,48.0,17.0,26.0,9.0,10.0
2024-02-15 12:45:00,0.0,1.0,0.0,0.0,32.0,49.0,37.0,21.0,20.0,5.0,8.0
2024-02-15 12:45:10,4.0,1.0,1.0,3.0,27.0,21.0,28.0,21.0,22.0,16.0,9.0
2024-02-15 12:45:20,0.0,0.0,2.0,1.0,32.0,20.0,22.0,14.0,7.0,14.0,19.0
2024-02-15 12:45:30,0.0,0.0,0.0,3.0,47.0,41.0,34.0,13.0,6.0,1.0,13.0
2024-02-15 12:45:40,0.0,1.0,0.0,2.0,49.0,31.0,31.0,12.0,8.0,7.0,20.0
2024-02-15 12:45:50,0.0,0.0,1.0,3.0,46.0,52.0,35.0,13.0,11.0,15.0,22.0
2024-02-15 12:46:00,1.0,1.0,0.0,2.0,40.0,77.0,45.0,8.0,11.0,14.0,32.0
2024-02-15 12:46:10,0.0,0.0,1.0,1.0,26.0,29.0,22.0,8.0,7.0,14.0,17.0
2024-02-15 12:46:20,0.0,0.0,2.0,2.0,24.0,36.0,18.0,3.0,7.0,12.0,12.0
2024-02-15 12:46:30,1.0,0.0,3.0,1.0,16.0,52.0,19.0,8.0,8.0,16.0,15.0
2024-02-15 12:46:40,0.0,0.0,2.0,1.0,21.0,39.0,21.0,2.0,6.0,6.0,18.0
2024-02-15 12:46:50,0.0,0.0,2.0,0.0,30.0,65.0,30.0,3.0,6.0,24.0,33.0
2024-02-15 12:47:00,0.0,0.0,2.0,0.0,26.0,65.0,16.0,7.0,6.0,38.0,5.0
2024-02-15 12:47:10,0.0,0.0,4.0,0.0,34.0,65.0,22.0,2.0,9.0,23.0,30.0
2024-02-15 12:47:20,2.0,0.0,2.0,1.0,36.0,86.0,29.0,3.0,13.0,17.0,38.0
2024-02-15 12:47:30,0.0,2.0,5.0,0.0,33.0,77.0,27.0,15.0,15.0,7.0,17.0
2024-02-15 12:47:40,0.0,0.0,2.0,0.0,31.0,68.0,19.0,16.0,9.0,8.0,10.0
2024-02-15 12:47:50,1.0,1.0,1.0,0.0,39.0,67.0,18.0,18.0,4.0,14.0,16.0
2024-02-15 12:48:00,6.0,2.0,4.0,1.0,59.0,74.0,30.0,12.0,10.0,23.0,25.0
2024-02-15 12:48:10,2.0,1.0,0.0,2.0,50.0,67.0,35.0,14.0,11.0,13.0,22.0
2024-02-15 12:48:20,1.0,2.0,1.0,0.0,22.0,51.0,25.0,3.0,9.0,7.0,10.0
2024-02-15 12:48:30,3.0,0.0,1.0,2.0,18.0,66.0,23.0,25.0,3.0,10.0,11.0
2024-02-15 12:48:40,1.0,2.0,1.0,1.0,20.0,77.0,17.0,8.0,2.0,10.0,15.0
2024-02-15 12:48:50,0.0,0.0,0.0,0.0,37.0,69.0,12.0,11.0,7.0,11.0,14.0
2024-02-15 12:49:00,0.0,2.0,7.0,1.0,34.0,69.0,19.0,24.0,8.0,7.0,13.0
2024-02-15 12:49:10,0.0,0.0,1.0,1.0,40.0,74.0,34.0,19.0,6.0,2.0,19.0
2024-02-15 12:49:20,0.0,2.0,3.0,0.0,32.0,42.0,41.0,16.0,9.0,10.0,18.0
2024-02-15 12:49:30,1.0,1.0,3.0,1.0,28.0,30.0,25.0,17.0,12.0,13.0,21.0
2024-02-15 12:49:40,0.0,0.0,0.0,1.0,47.0,30.0,23.0,21.0,1.0,23.0,30.0
2024-02-15 12:49:50,0.0,0.0,3.0,1.0,42.0,58.0,31.0,28.0,8.0,22.0,22.0
2024-02-15 12:50:00,0.0,1.0,2.0,1.0,21.0,60.0,24.0,10.0,5.0,16.0,19.0
2024-02-15 12:50:10,0.0,1.0,0.0,1.0,25.0,61.0,11.0,10.0,0.0,26.0,36.0
2024-02-15 12:50:20,0.0,0.0,2.0,1.0,19.0,36.0,12.0,10.0,7.0,47.0,17.0
2024-02-15 12:50:30,2.0,0.0,0.0,1.0,24.0,36.0,14.0,13.0,14.0,62.0,17.0
2024-02-15 12:50:40,0.0,1.0,1.0,0.0,31.0,29.0,21.0,15.0,5.0,50.0,17.0
2024-02-15 12:50:50,0.0,1.0,1.0,2.0,29.0,26.0,19.0,28.0,8.0,5.0,23.0
2024-02-15 12:51:00,1.0,0.0,0.0,1.0,31.0,27.0,20.0,28.0,10.0,11.0,17.0
2024-02-15 12:51:10,2.0,0.0,1.0,1.0,33.0,23.0,17.0,10.0,12.0,12.0,23.0
2024-02-15 12:51:20,0.0,0.0,0.0,1.0,33.0,19.0,17.0,6.0,6.0,11.0,14.0
